MKT_TP_CODE	SCR_CODE	SCR_NM	ENSCR_NM	TRDUNIT	MONEYTYPE	CAPITAL	CIRCULATSTOCK	ASSETSPERSHARE	LSTINCPERSHARE	CURINCPERSHARE	VOL_BASE_RATIO	RECTIME
1	122155	12天富债		10	0	500000000	460793000	0	0	0	0	20160307172319
1	122156	12厦工债		10	0	1500000000	1430000000	0	0	0	0	20160307172319
1	122157	12广控01		10	0	2350000000	2350000000	0	0	0	0	20160307172319
1	122158	12西钢债		10	0	430000000	430000000	0	0	0	0	20160307172319
1	122159	12亿利02		10	0	800000000	800000000	0	0	0	0	20160307172319
1	122162	12中孚债		10	0	1000000000	657917000	0	0	0	0	20160307172319
1	122163	12鄂资债		10	0	4000000000	4000000000	0	0	0	0	20160307172319
1	122164	12通威发		10	0	500000000	500000000	0	0	0	0	20160307172319
1	122166	12国电04		10	0	700000000	700000000	0	0	0	0	20160307172319
1	122167	12兖煤01		10	0	1000000000	1000000000	0	0	0	0	20160307172319
1	122168	12兖煤02		10	0	4000000000	4000000000	0	0	0	0	20160307172319
1	122169	12金瑞债		10	0	150000000	68995000	0	0	0	0	20160307172319
1	122172	12中海02		10	0	1500000000	1500000000	0	0	0	0	20160307172319
1	122173	12中交01		10	0	6000000000	6000000000	0	0	0	0	20160307172319
1	122174	12中交02		10	0	2000000000	2000000000	0	0	0	0	20160307172319
1	122175	12中交03		10	0	4000000000	4000000000	0	0	0	0	20160307172319
1	122176	12中储债		10	0	1600000000	1600000000	0	0	0	0	20160307172319
1	122178	12科环02		10	0	800000000	800000000	0	0	0	0	20160307172319
1	122179	12科环03		10	0	2000000000	2000000000	0	0	0	0	20160307172319
1	122180	12旋风债		10	0	700000000	700000000	0	0	0	0	20160307172319
1	122181	12山鹰债		10	0	800000000	800000000	0	0	0	0	20160307172319
1	122182	12九州通		10	0	1600000000	1600000000	0	0	0	0	20160307172319
1	122183	12集优01		10	0	500000000	500000000	0	0	0	0	20160307172319
1	122184	12一重01		10	0	2500000000	2500000000	0	0	0	0	20160307172319
